,index,date,open,high,low,close,volume
0,0,1.59205E+12,235.89,236.11,235,235.49,9425.7929
1,1,1.59205E+12,235.5,236.82,235.06,236.38,15799.02804
2,2,1.59205E+12,236.38,236.56,235.61,236.33,7264.88729
3,3,1.59206E+12,236.35,238.39,236.29,237.76,24624.57173
4,4,1.59206E+12,237.78,238.05,236.98,237.12,10134.14025
5,5,1.59206E+12,237.13,237.7,236.53,237.22,10316.6476
6,6,1.59207E+12,237.21,237.58,236.9,237.06,7000.64906
7,7,1.59207E+12,237.03,237.9,237.03,237.43,6902.95857
8,8,1.59207E+12,237.44,238.73,236.11,236.85,19936.19118
9,9,1.59208E+12,236.82,237.63,235.8,237.01,13046.68059
10,10,1.59208E+12,237.01,237.58,236.85,237.28,4876.80653
11,11,1.59209E+12,237.29,238,237.24,237.98,7860.29993
12,12,1.59209E+12,237.97,238.48,237.84,238.11,9350.23645
13,13,1.59209E+12,238.13,238.24,237.3,237.7,7394.5098
14,14,1.5921E+12,237.69,237.9,237.24,237.47,6005.48593
15,15,1.5921E+12,237.49,238.59,237.48,238.05,12896.25152
16,16,1.5921E+12,238.06,238.07,237.5,237.66,5279.10386
17,17,1.59211E+12,237.67,237.87,237.04,237.15,5485.07916
18,18,1.59211E+12,237.19,237.54,235.8,236.5,13013.24643
19,19,1.59211E+12,236.5,236.76,233.71,234.54,23909.8038
20,20,1.59212E+12,234.53,235.5,233.79,235.2,14540.03698
21,21,1.59212E+12,235.2,236.67,234.62,236.26,13101.00676
22,22,1.59213E+12,236.26,236.42,235.85,236,6496.54697
23,23,1.59213E+12,236,236.39,235.84,236.18,6608.65239
24,24,1.59213E+12,236.23,237,236.04,236.22,7212.5756
25,25,1.59214E+12,236.22,236.58,235.28,236.02,8966.15763
26,26,1.59214E+12,236.04,236.04,234.85,235.58,12212.18657
27,27,1.59214E+12,235.57,235.79,232.95,234.15,26837.65135
28,28,1.59215E+12,234.19,235.67,233.97,235.39,16475.91706
29,29,1.59215E+12,235.37,235.6,234.49,234.76,8425.74969
30,30,1.59215E+12,234.75,235.36,233.92,234.93,9803.71823
31,31,1.59216E+12,234.94,235.08,234.31,234.8,5268.33827
32,32,1.59216E+12,234.8,235.25,234.5,234.96,4038.06511
33,33,1.59216E+12,234.95,235.24,233.99,234.11,6695.11978
34,34,1.59217E+12,234.12,234.29,231.83,233,21103.10145
35,35,1.59217E+12,232.99,234.43,229.83,233.58,45190.37669
36,36,1.59218E+12,233.57,233.75,231.68,231.77,17984.53085
37,37,1.59218E+12,231.74,232.36,230.41,231.49,28120.82678
38,38,1.59218E+12,231.49,231.75,228.08,228.44,41076.69653
39,39,1.59219E+12,228.44,230,228,229.36,21420.4476
40,40,1.59219E+12,229.38,229.4,224.07,225.71,65320.98564
41,41,1.59219E+12,225.72,227.62,224.65,226.63,26206.28334
42,42,1.5922E+12,226.63,226.81,220.5,222.43,76536.72903
43,43,1.5922E+12,222.42,223.47,218.27,221.89,95494.75899
44,44,1.5922E+12,221.86,225,221.67,224.56,59914.4104
45,45,1.59221E+12,224.59,224.95,223.5,224.21,34867.83277
46,46,1.59221E+12,224.21,224.39,222.98,224.12,18757.14716
47,47,1.59222E+12,224.14,224.5,222.41,222.71,15565.16885
48,48,1.59222E+12,222.72,224.27,222.02,223.48,21546.0405
49,49,1.59222E+12,223.47,224.1,222.47,222.73,12481.17448
50,50,1.59223E+12,222.72,224.21,220.3,224.06,38891.70094
51,51,1.59223E+12,224.06,225.45,224,224.44,43572.32927
52,52,1.59223E+12,224.44,226.55,224.37,226.43,34803.89937
53,53,1.59224E+12,226.43,229.18,225.8,227.62,55069.82857
54,54,1.59224E+12,227.65,228.36,227.38,227.61,17226.77707
55,55,1.59224E+12,227.62,232.15,227.62,231.84,63291.0743
56,56,1.59225E+12,231.85,233.55,231.31,232.31,30204.37679
57,57,1.59225E+12,232.33,233.22,231.75,232.68,20748.26859
58,58,1.59225E+12,232.68,233.31,231.22,231.69,15949.8919
59,59,1.59226E+12,231.7,232.61,229.54,230.85,26236.35824
60,60,1.59226E+12,230.84,231.54,230.59,230.86,11723.91346
61,61,1.59227E+12,230.86,231.24,228.98,229.48,19289.74368
62,62,1.59227E+12,229.48,230.46,229.3,229.86,12287.14502
63,63,1.59227E+12,229.87,230.9,228.7,230.69,15926.19117
64,64,1.59228E+12,230.68,234.17,230.35,233.08,47360.29289
65,65,1.59228E+12,233.09,233.49,232.04,232.92,14619.59687
66,66,1.59228E+12,232.95,233.28,232.26,232.8,12599.23296
67,67,1.59229E+12,232.79,233,231.24,232.06,32228.95206
68,68,1.59229E+12,232.07,233.4,231.87,232.97,19246.53093
69,69,1.59229E+12,232.96,233.3,232.06,232.97,14660.85978
70,70,1.5923E+12,233,235.6,232.97,234,41846.01541
71,71,1.5923E+12,234.01,235.55,233.56,235.39,22429.14524
72,72,1.59231E+12,235.39,235.4,234.23,234.38,24701.85767
73,73,1.59231E+12,234.38,236,233.14,235.77,29386.16165
74,74,1.59231E+12,235.82,235.85,234.1,234.73,33930.10962
75,75,1.59232E+12,234.76,234.85,232.26,232.48,31135.70401
76,76,1.59232E+12,232.45,233.48,231.64,232.99,34034.92665
77,77,1.59232E+12,233,234.44,232.6,233.87,19115.46438
78,78,1.59233E+12,233.88,234.15,233,233.5,9878.06706
79,79,1.59233E+12,233.49,234.17,232.95,234.06,10282.86283
80,80,1.59233E+12,234.06,234.08,233.15,233.97,9954.67612
81,81,1.59234E+12,233.97,233.97,233.5,233.81,6186.43708
82,82,1.59234E+12,233.78,235.67,233.76,234.62,17051.04213
83,83,1.59234E+12,234.62,235.36,233.99,235.07,9600.26556
84,84,1.59235E+12,235.07,235.61,234.42,235.3,11443.38681
85,85,1.59235E+12,235.31,235.7,233.9,233.99,13084.89392
86,86,1.59236E+12,233.99,234.39,232.53,232.83,13354.17726
87,87,1.59236E+12,232.8,233.87,232.11,232.58,18699.99844
88,88,1.59236E+12,232.57,233.31,232.12,233,11256.87853
89,89,1.59237E+12,233.01,233.41,232.6,233.25,6991.08882
90,90,1.59237E+12,233.23,233.71,232.5,232.73,13209.60201
91,91,1.59237E+12,232.74,235.14,232.5,234.55,24843.99553
92,92,1.59238E+12,234.55,235.31,234.27,234.82,22446.38739
93,93,1.59238E+12,234.82,235.15,234.04,234.15,13576.69307
94,94,1.59238E+12,234.16,234.45,233.4,233.5,13068.92915
95,95,1.59239E+12,233.5,234.04,233.44,233.62,7293.69127
96,96,1.59239E+12,233.64,234.46,233.28,233.66,13098.12621
97,97,1.5924E+12,233.69,234.49,233.61,234.16,12504.0651
98,98,1.5924E+12,234.16,237.3,232.96,233.29,66656.43814
99,99,1.5924E+12,233.24,233.78,230.86,232.1,45003.27651
100,100,1.59241E+12,232.08,233.2,231.33,231.59,19639.32032
101,101,1.59241E+12,231.58,232.46,230.38,230.92,34203.66319
102,102,1.59241E+12,230.9,232.37,230.7,231.79,12402.09595
103,103,1.59242E+12,231.8,232.65,231.53,231.9,8939.17349
104,104,1.59242E+12,231.89,231.98,229.38,229.42,30486.48775
105,105,1.59242E+12,229.43,231.73,227.65,231.36,32622.9106
106,106,1.59243E+12,231.34,233.11,231.34,232.29,12912.44258
107,107,1.59243E+12,232.3,232.9,231.6,232.39,13738.18036
108,108,1.59243E+12,232.4,234.33,232.4,233.82,18154.77611
109,109,1.59244E+12,233.82,233.83,232.93,233.51,11870.33774
110,110,1.59244E+12,233.5,234.65,233.15,233.56,14136.03629
111,111,1.59245E+12,233.57,233.73,232.91,233.27,15907.53114
112,112,1.59245E+12,233.22,233.96,233.12,233.51,7414.77428
113,113,1.59245E+12,233.55,233.74,232.73,232.84,7637.24374
114,114,1.59246E+12,232.85,233.23,232.5,233.01,9920.65114
115,115,1.59246E+12,233.01,233.65,232.45,233.14,9841.19982
116,116,1.59246E+12,233.13,234,233.1,233.46,11736.48722
117,117,1.59247E+12,233.48,233.82,233.12,233.25,7096.00396
118,118,1.59247E+12,233.24,234.08,232.55,232.72,14732.57013
119,119,1.59247E+12,232.73,233.5,232.11,233.47,12354.88926
120,120,1.59248E+12,233.47,233.55,232.95,233.08,10301.44999
121,121,1.59248E+12,233.09,233.34,232.69,232.96,9709.04955
122,122,1.59249E+12,232.96,233,231.25,231.74,24966.30064
123,123,1.59249E+12,231.75,232.67,230.72,232.58,15145.38185
124,124,1.59249E+12,232.59,232.68,230.84,231.23,13514.05028
125,125,1.5925E+12,231.24,231.84,230.85,231.62,14807.21744
126,126,1.5925E+12,231.64,232.23,231.2,231.93,7410.67787
127,127,1.5925E+12,231.93,231.93,230.85,231.33,8256.12371
128,128,1.59251E+12,231.33,231.71,229.67,231.27,21344.75736
129,129,1.59251E+12,231.28,231.29,228,228.97,33435.79909
130,130,1.59251E+12,228.98,230.52,227.93,230.05,19730.64192
131,131,1.59252E+12,230.04,231.1,229.68,230.71,14537.95563
132,132,1.59252E+12,230.71,232.69,230.28,231.27,18540.66912
133,133,1.59252E+12,231.26,231.43,229.49,230.38,18744.81525
134,134,1.59253E+12,230.38,230.58,228.3,228.43,19764.16763
135,135,1.59253E+12,228.44,230.68,226.76,227.12,42315.92092
136,136,1.59254E+12,227.13,228,226.74,227.58,18262.229
137,137,1.59254E+12,227.54,228.8,227.16,228.4,14554.8446
138,138,1.59254E+12,228.42,229.13,227.94,229.05,12018.53006
139,139,1.59255E+12,229.06,229.4,228.5,228.67,10632.31017
140,140,1.59255E+12,228.67,228.67,227.45,228.37,18116.20537
141,141,1.59255E+12,228.38,229.24,227.62,228.81,15317.40763
142,142,1.59256E+12,228.8,231.3,228.77,229.87,31983.82713
143,143,1.59256E+12,229.87,230.6,229.65,230.37,14735.75725
144,144,1.59256E+12,230.37,230.84,229.95,230.29,12474.33497
145,145,1.59257E+12,230.3,231.95,230.21,230.78,21647.65904
146,146,1.59257E+12,230.76,231.43,230.5,231.23,11364.19023
147,147,1.59258E+12,231.24,231.55,230.22,230.38,10907.53504
148,148,1.59258E+12,230.38,230.89,230.25,230.88,11191.45397
149,149,1.59258E+12,230.88,231.14,228.6,229.66,22212.69325
150,150,1.59259E+12,229.65,229.89,228.37,228.71,18402.65009
